"trial_type","trial_index","time_elapsed","internal_node_id","value","rt","stimulus","key_press","responses","success","hand","test","gap","finger","cue","con","correct_response","correct","response"
"pavlovia","0","3","0.0-0.0","","","","","","","","","","","","","","",""
"call-function","1","4","0.0-1.0","","","","","","","","","","","","","","",""
"html-keyboard-response","2","2052","0.0-2.0","","2046","<div class = 'my_window'><p><h1>Welcome!</h1><br><p><p>This experiment is adminterested by Carl Michael Galang (McMaster University), Dr. Emiel Cracco (Ghent University), Dr. Marcel Brass (Humboldt University of Berlin), & Dr. Sukhvinder Obhi (McMaster University).</p><br><p>The purpose of this study to explore basic perceptual processing mechanisms.</p><br><p>Information gathered during this study will be written up for publication in an academic journal. While there are no direct benefits to you taking part in this study (other than learning more about the research topic and receiving 1 credit on SONA), the results of this study will provide us with a better understanding of perceptual and sensory processes. To learn about this study, particularly in the terms of any associated risks or harms, how confidentiality and anonymity will be handled, withdrawal procedures, incentives that are promised, how to obtain information about the results, etc., please read the accompanying letter of information - <a href='LOI.pdf' target='_blank'>Click Here</a> (this will open a new window).</p<br><p>This study should take around 30min to complete. Please finish this study within an hour of starting it (there are built-in breaks embedded in the experiment).</p><br><p>Please note that you will be given a unique compleition code at the end of this study to input into a Google Forms (link at the end) to get your SONA credit.</p><p>If you have questions or need more information about the study itself, please contact me at: galangc@mcmaster.ca. This study has been reviewed by the McMaster University Research Ethics Board and received ethics clearance. If you have concerns or questions about your rights as a participant or about the way the study is conducted, please contact the McMaster Research Ethics Secretariat at ethicsoffice@mcmaster.ca.</p><br><p><h1>CONSENT</h1></p><p>I have read the information presented in the letter of information and I agree to participate in this study.</p><br><p>By pressing Enter, I consent to the above.<p>","13","","","","","","","","","","",""
"survey-html-form","3","3751","0.0-3.0","","1699","","","{""Age"":"""",""Gender"":"""",""Ethnicity"":"""",""Dominant Hand"":"""",""Browser"":"""",""OSF"":""No""}","","","","","","","","","",""
"html-keyboard-response","4","4275","0.0-4.0","","522","<div class = 'my_window'><p>This study requires hearing an audio tone. So please have headphones on and complete this study with minimal distractions.</p><p>Please hold down the G and H keys with your right hand.</p><p>If you start to hear clicking noises while you hold down the keys, please contact the researcher on Prolific.<p>Press ENTER to continue.</p></div>","13","","","","","","","","","","",""
"fullscreen","5","6012","0.0-5.0","","","","","","true","","","","","","","","",""
"call-function","6","6015","0.0-6.0","","","","","","","","","","","","","","",""
"html-keyboard-response","7","7043","0.0-7.0","","1026","<div class = 'my_window'><p>Your task in this experiment is to respond to the letters I or M, which will appear in the middle of the image (indicated by a fixation cross).</p><p>Hold down the G and H keys with your <strong><u>right hand</u></strong>. If you see the letter I, release the G key by lifting your Index finger as fast as you can.</p>If you see the letter M, release the H key by lifting your Middle finger as fast as you can.</p><p>There will be 1 or 2 hands moving in the background. Ignore them and focus on the task.</p><p>Releasing the key will cause an audio tone to play. The audio tone will play 1-1000ms after your key release.</p><p>Your job is to estimate the interval between your key release and hearing the audio tone (anywhere between 1ms-1000ms).</p><br><p>We will start with some practice trials only involving the letters and hands (no audio tone or estimations).</p><br><p>Press ENTER to begin.</p></div>","13","","","","","","","","","","",""
"fixation-image-keyboard-release-original","227","9645","0.0-8.0-1.0","","442","Stim/Stim-GB/IN_M.PNG","72","","","1","exp","400","1","1","IC","h","true",""
"html-keyboard-response","228","11147","0.0-8.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","229","12580","0.0-9.0-1.0","","427","Stim/Stim-GB/MM_I.PNG","72","","","2","exp","100","2","0","IC","g","false",""
"html-keyboard-response","230","14085","0.0-9.0-2.0","","null","<p> INCORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","231","15684","0.0-9.1-1.1","","591","Stim/Stim-BG/IN_M.PNG","72","","","1","exp","100","1","1","IC","h","true",""
"html-keyboard-response","232","17186","0.0-9.1-2.1","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","233","18660","0.0-10.0-1.0","","471","Stim/Stim-BG/MN_I.PNG","71","","","1","exp","700","2","0","IC","g","true",""
"html-keyboard-response","234","20163","0.0-10.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","235","23166","0.0-11.0-1.0","","null","Stim/Stim-BG/II_I.PNG","null","","","2","exp","700","1","0","C","g","false",""
