"trial_type","trial_index","time_elapsed","internal_node_id","value","rt","stimulus","key_press","responses","success","hand","test","gap","finger","cue","con","correct_response","correct","response"
"pavlovia","0","4","0.0-0.0","","","","","","","","","","","","","","",""
"call-function","1","5","0.0-1.0","","","","","","","","","","","","","","",""
"html-keyboard-response","2","1187","0.0-2.0","","1180","<div class = 'my_window'><p><h1>Welcome!</h1><br><p><p>This experiment is adminterested by Carl Michael Galang (McMaster University), Dr. Emiel Cracco (Ghent University), Dr. Marcel Brass (Humboldt University of Berlin), & Dr. Sukhvinder Obhi (McMaster University).</p><br><p>The purpose of this study to explore basic perceptual processing mechanisms.</p><br><p>Information gathered during this study will be written up for publication in an academic journal. While there are no direct benefits to you taking part in this study (other than learning more about the research topic and receiving 1 credit on SONA), the results of this study will provide us with a better understanding of perceptual and sensory processes. To learn about this study, particularly in the terms of any associated risks or harms, how confidentiality and anonymity will be handled, withdrawal procedures, incentives that are promised, how to obtain information about the results, etc., please read the accompanying letter of information - <a href='LOI.pdf' target='_blank'>Click Here</a> (this will open a new window).</p<br><p>This study should take around 30min to complete. Please finish this study within an hour of starting it (there are built-in breaks embedded in the experiment).</p><br><p>Please note that you will be given a unique compleition code at the end of this study to input into a Google Forms (link at the end) to get your SONA credit.</p><p>If you have questions or need more information about the study itself, please contact me at: galangc@mcmaster.ca. This study has been reviewed by the McMaster University Research Ethics Board and received ethics clearance. If you have concerns or questions about your rights as a participant or about the way the study is conducted, please contact the McMaster Research Ethics Secretariat at ethicsoffice@mcmaster.ca.</p><br><p><h1>CONSENT</h1></p><p>I have read the information presented in the letter of information and I agree to participate in this study.</p><br><p>By pressing Enter, I consent to the above.<p>","13","","","","","","","","","","",""
"survey-html-form","3","3705","0.0-3.0","","2516","","","{""Age"":"""",""Gender"":"""",""Ethnicity"":"""",""Dominant Hand"":"""",""Browser"":"""",""OSF"":""No""}","","","","","","","","","",""
"html-keyboard-response","4","11107","0.0-4.0","","7402","<div class = 'my_window'><p>This study requires hearing an audio tone. So please have headphones on and complete this study with minimal distractions.</p><p>Please hold down the G and H keys with your right hand.</p><p>If you start to hear clicking noises while you hold down the keys, please contact the researcher on Prolific.<p>Press ENTER to continue.</p></div>","13","","","","","","","","","","",""
"fullscreen","5","13830","0.0-5.0","","","","","","true","","","","","","","","",""
"call-function","6","13833","0.0-6.0","","","","","","","","","","","","","","",""
"html-keyboard-response","7","35570","0.0-7.0","","21735","<div class = 'my_window'><p>Your task in this experiment is to respond to the letters I or M, which will appear in the middle of the image (indicated by a fixation cross).</p><p>Hold down the G and H keys with your <strong><u>right hand</u></strong>. If you see the letter I, release the G key by lifting your Index finger as fast as you can.</p>If you see the letter M, release the H key by lifting your Middle finger as fast as you can.</p><p>There will be 1 or 2 hands moving in the background. Ignore them and focus on the task.</p><p>Releasing the key will cause an audio tone to play. The audio tone will play 1-1000ms after your key release.</p><p>Your job is to estimate the interval between your key release and hearing the audio tone (anywhere between 1ms-1000ms).</p><br><p>We will start with some practice trials only involving the letters and hands (no audio tone or estimations).</p><br><p>Press ENTER to begin.</p></div>","13","","","","","","","","","","",""
"fixation-image-keyboard-release-original","308","38572","0.0-8.0-1.0","","431","Stim/Stim-BG/MM_M.PNG","72","","","2","exp","100","2","1","C","h","true",""
"html-keyboard-response","309","40079","0.0-8.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","310","41698","0.0-9.0-1.0","","618","Stim/Stim-BG/NI_M.PNG","71","","","1","exp","400","1","1","IC","h","false",""
"html-keyboard-response","311","43202","0.0-9.0-2.0","","null","<p> INCORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","312","44580","0.0-9.1-1.1","","375","Stim/Stim-BG/MM_M.PNG","72","","","2","exp","700","2","1","C","h","true",""
"html-keyboard-response","313","46083","0.0-9.1-2.1","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","314","47507","0.0-10.0-1.0","","422","Stim/Stim-GB/MM_M.PNG","72","","","2","exp","700","2","1","C","h","true",""
"html-keyboard-response","315","49010","0.0-10.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","316","50554","0.0-11.0-1.0","","542","Stim/Stim-BG/MN_M.PNG","72","","","1","exp","400","2","1","C","h","true",""
"html-keyboard-response","317","52058","0.0-11.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","318","53571","0.0-12.0-1.0","","510","Stim/Stim-BG/MM_I.PNG","71","","","2","exp","100","2","0","IC","g","true",""
"html-keyboard-response","319","55074","0.0-12.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","320","56683","0.0-13.0-1.0","","607","Stim/Stim-BG/MM_M.PNG","72","","","2","exp","100","2","1","C","h","true",""
"html-keyboard-response","321","58186","0.0-13.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","322","59644","0.0-14.0-1.0","","455","Stim/Stim-GB/II_M.PNG","72","","","2","exp","400","1","1","IC","h","true",""
"html-keyboard-response","323","61145","0.0-14.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","324","62620","0.0-15.0-1.0","","472","Stim/Stim-GB/II_I.PNG","71","","","2","exp","400","1","0","C","g","true",""
"html-keyboard-response","325","64122","0.0-15.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","326","65484","0.0-16.0-1.0","","359","Stim/Stim-GB/II_I.PNG","71","","","2","exp","400","1","0","C","g","true",""
"html-keyboard-response","327","66985","0.0-16.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","328","68363","0.0-17.0-1.0","","374","Stim/Stim-GB/MM_M.PNG","72","","","2","exp","400","2","1","C","h","true",""
"html-keyboard-response","329","69867","0.0-17.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"html-keyboard-response","330","81099","0.0-18.0","","11231","<div class = 'my_window'><p>Now let's move onto practicing the interval estimation.<p><br><p>In this part, releasing the key will cause the audio tone to play. For the purposes of this practice, the audio tone will play either 1ms, 500ms, or 1000ms after your key release.</p><p>Your job is to choose either one of those options on a sliding scale (the slider starts at 500ms -- move to the left extreme for 1ms and the right extreme for 1000ms).</p><p>As a frame of reference: the duration of one eyeblink is estimated to be around 300-400ms.</p><br><p>Press ENTER to begin the practice trials.</p></div>","13","","","","","","","","","","",""
"fixation-image-keyboard-release","602","84028","0.0-19.0-1.0","","533","Stim/Stim-GB/NM_I.PNG","72","","","1","exp","500","2","0","IC","g","false",""
"audio-keyboard-response","603","84841","0.0-19.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","604","85344","0.0-19.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","605","94070","0.0-19.0-4.0","","8717","","","","","","","","","","","","","500"
"html-keyboard-response","606","95071","0.0-19.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","607","95072","0.0-19.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","695","97019","0.0-20.0-1.0","","475","Stim/Stim-BG/IN_M.PNG","72","","","1","exp","1","1","1","IC","h","true",""
"audio-keyboard-response","696","97330","0.0-20.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","697","97831","0.0-20.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","698","99234","0.0-20.0-4.0","","1399","","","","","","","","","","","","","500"
"html-keyboard-response","699","100235","0.0-20.0-5.0","","null","<p> INCORRECT </p>","null","","","","","","","","","","",""
"call-function","700","100237","0.0-20.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","748","102003","0.0-20.1-1.1","","522","Stim/Stim-BG/NM_I.PNG","71","","","1","exp","1","2","0","IC","g","true",""
"audio-keyboard-response","749","102310","0.0-20.1-2.1","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","750","102811","0.0-20.1-3.1","","","","","","","","","","","","","","",""
"image-slider-response","751","105383","0.0-20.1-4.1","","2569","","","","","","","","","","","","","1"
"html-keyboard-response","752","106384","0.0-20.1-5.1","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","753","106385","0.0-20.1-6.1","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","821","108123","0.0-21.0-1.0","","435","Stim/Stim-GB/MN_I.PNG","71","","","1","exp","1","2","0","IC","g","true",""
"audio-keyboard-response","822","108430","0.0-21.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","823","108932","0.0-21.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","824","111388","0.0-21.0-4.0","","2453","","","","","","","","","","","","","1"
"html-keyboard-response","825","112390","0.0-21.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","826","112391","0.0-21.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","878","114101","0.0-22.0-1.0","","438","Stim/Stim-GB/MM_M.PNG","72","","","2","exp","1","2","1","C","h","true",""
"audio-keyboard-response","879","114410","0.0-22.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","880","114912","0.0-22.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","881","117067","0.0-22.0-4.0","","2152","","","","","","","","","","","","","1"
"html-keyboard-response","882","118069","0.0-22.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","883","118070","0.0-22.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","919","119699","0.0-23.0-1.0","","443","Stim/Stim-BG/MN_I.PNG","71","","","1","exp","1","2","0","IC","g","true",""
"audio-keyboard-response","920","120009","0.0-23.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","921","120512","0.0-23.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","922","122696","0.0-23.0-4.0","","2182","","","","","","","","","","","","","1"
"html-keyboard-response","923","123698","0.0-23.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","924","123698","0.0-23.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","954","125251","0.0-24.0-1.0","","417","Stim/Stim-BG/II_I.PNG","72","","","2","exp","1000","1","0","C","g","false",""
"audio-keyboard-response","955","126560","0.0-24.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","956","127061","0.0-24.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","957","129362","0.0-24.0-4.0","","2298","","","","","","","","","","","","","500"
"html-keyboard-response","958","130362","0.0-24.0-5.0","","null","<p> INCORRECT </p>","null","","","","","","","","","","",""
"call-function","959","130363","0.0-24.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","999","132084","0.0-24.1-1.1","","522","Stim/Stim-GB/MM_I.PNG","71","","","2","exp","1000","2","0","IC","g","true",""
"audio-keyboard-response","1000","133391","0.0-24.1-2.1","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","1001","133891","0.0-24.1-3.1","","","","","","","","","","","","","","",""
"image-slider-response","1002","135426","0.0-24.1-4.1","","1532","","","","","","","","","","","","","1000"
"html-keyboard-response","1003","136428","0.0-24.1-5.1","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","1004","136429","0.0-24.1-6.1","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","1047","138188","0.0-25.0-1.0","","544","Stim/Stim-GB/NM_I.PNG","71","","","1","exp","1000","2","0","IC","g","true",""
"audio-keyboard-response","1048","139490","0.0-25.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","1049","139993","0.0-25.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","1050","141796","0.0-25.0-4.0","","1798","","","","","","","","","","","","","1000"
"html-keyboard-response","1051","142799","0.0-25.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","1052","142800","0.0-25.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","1086","144460","0.0-26.0-1.0","","480","Stim/Stim-BG/MM_I.PNG","72","","","2","exp","500","2","0","IC","g","false",""
"audio-keyboard-response","1087","145270","0.0-26.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","1088","145771","0.0-26.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","1089","148155","0.0-26.0-4.0","","2381","","","","","","","","","","","","","500"
"html-keyboard-response","1090","149157","0.0-26.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","1091","149158","0.0-26.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","1125","150923","0.0-27.0-1.0","","586","Stim/Stim-GB/II_M.PNG","72","","","2","exp","500","1","1","IC","h","true",""
"audio-keyboard-response","1126","151729","0.0-27.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","1127","152231","0.0-27.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","1128","154346","0.0-27.0-4.0","","2111","","","","","","","","","","","","","500"
"html-keyboard-response","1129","155346","0.0-27.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","1130","155347","0.0-27.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","1168","156995","0.0-28.0-1.0","","451","Stim/Stim-BG/MM_M.PNG","72","","","2","exp","500","2","1","C","h","true",""
"audio-keyboard-response","1169","157801","0.0-28.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","1170","158302","0.0-28.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","1171","158994","0.0-28.0-4.0","","688","","","","","","","","","","","","","500"
"html-keyboard-response","1172","159996","0.0-28.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","1173","159997","0.0-28.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","1237","161746","0.0-29.0-1.0","","425","Stim/Stim-BG/NI_I.PNG","71","","","1","exp","1","1","0","C","g","true",""
"audio-keyboard-response","1238","162050","0.0-29.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","1239","162552","0.0-29.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","1240","164548","0.0-29.0-4.0","","1993","","","","","","","","","","","","","1"
"html-keyboard-response","1241","165549","0.0-29.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","1242","165549","0.0-29.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","1287","167140","0.0-30.0-1.0","","374","Stim/Stim-GB/MN_I.PNG","71","","","1","exp","1000","2","0","IC","g","true",""
"audio-keyboard-response","1288","168450","0.0-30.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","1289","168952","0.0-30.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","1290","170947","0.0-30.0-4.0","","1992","","","","","","","","","","","","","1000"
"html-keyboard-response","1291","171949","0.0-30.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","1292","171949","0.0-30.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","1359","173791","0.0-31.0-1.0","","514","Stim/Stim-BG/MN_I.PNG","72","","","1","exp","1000","2","0","IC","g","false",""
"audio-keyboard-response","1360","175099","0.0-31.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","1361","175601","0.0-31.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","1362","176131","0.0-31.0-4.0","","527","","","","","","","","","","","","","500"
"html-keyboard-response","1363","177133","0.0-31.0-5.0","","null","<p> INCORRECT </p>","null","","","","","","","","","","",""
"call-function","1364","177135","0.0-31.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","1401","178780","0.0-31.1-1.1","","458","Stim/Stim-BG/II_I.PNG","71","","","2","exp","1000","1","0","C","g","true",""
"audio-keyboard-response","1402","180090","0.0-31.1-2.1","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","1403","180593","0.0-31.1-3.1","","","","","","","","","","","","","","",""
"image-slider-response","1404","183596","0.0-31.1-4.1","","3000","","","","","","","","","","","","","1000"
"html-keyboard-response","1405","184599","0.0-31.1-5.1","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","1406","184600","0.0-31.1-6.1","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","1468","186435","0.0-32.0-1.0","","522","Stim/Stim-BG/IN_I.PNG","71","","","1","exp","1000","1","0","C","g","true",""
"audio-keyboard-response","1469","187739","0.0-32.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","1470","188242","0.0-32.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","1471","191032","0.0-32.0-4.0","","2786","","","","","","","","","","","","","1000"
"html-keyboard-response","1472","192033","0.0-32.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","1473","192034","0.0-32.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","1533","193867","0.0-33.0-1.0","","512","Stim/Stim-GB/II_M.PNG","72","","","2","exp","500","1","1","IC","h","true",""
"audio-keyboard-response","1534","194679","0.0-33.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","1535","195181","0.0-33.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","1536","195970","0.0-33.0-4.0","","788","","","","","","","","","","","","","500"
"html-keyboard-response","1537","196971","0.0-33.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","1538","196972","0.0-33.0-6.0","","","","","","","","","","","","","","",""
"call-function","1539","196973","0.0-34.0","","","","","","","","","","","","","","",""
"survey-html-form","1540","211967","0.0-35.0","","14992","","","{""hands"":""Right""}","","","","","","","","","",""
"html-keyboard-response","1541","214315","0.0-36.0","","2347","If you are using your <strong></u>right hand</u></strong>, then good job! If not, please do so in the main part of the experiment.<br><br>Press Enter to continue","13","","","","","","","","","","",""
"call-function","1542","214315","0.0-37.0","","","","","","","","","","","","","","",""
"html-keyboard-response","1543","225378","0.0-38.0","","11062","<div class = 'my_window'><p><h1>Good Job!</h1></p><br><p>Now that you've got the hang of the task, we will move on to the main part of the experiment.</p><p>Just like in the practice trials, you will hold down the G and H keys with your <strong><u>right hand</u></strong>, and if you see the letter I, release the G key by lifting your index finger as fast as you can, and if you see the letter M, release the H key by lifting your middle finger as fast as you can. You will NOT get feedback (Correct, Incorrect) after your responses. Ignore the hands in the background.</p><p>Releasing the key will cause the audio tone to play. <strong><u>For the main trials, the audio tone will play anywhere between 1-1000ms after your key release (Not just 1, 500, and 1000 anymore).</u></strong></p><p>Your job is to estimate, as best as you can, the interval between your key release and the audio tone using the slider.</p><p>There are 192 trials overall. You will get a self-paced break every 48 trials. Take your time; however, please complete this experiment within the hour of starting it and please complete the experiment with minimal distractions.</p><br><p>Press ENTER to begin.</p></div>","13","","","","","","","","","","",""
